Date,Outlet,URL,Specific_Stock,Cites_data,Other_data,Advertorial
2/20/25,Barron's,https://www.barrons.com/articles/bird-flu-vaccine-egg-prices-zoetis-dd60a6ab?mod=search_headline,None,YES,,NO
3/22/25,Barrons,https://www.barrons.com/articles/bird-flu-egg-prices-h5n1-what-to-know-eb8ff83e,NONE,YES,,NO
3/24/25,MarketWatch,https://www.marketwatch.com/story/bird-flu-is-more-than-just-expensive-eggs-it-could-break-the-economy-8c4c1904,None,Yes,,YES
4/10/25,MarketWatch,https://www.marketwatch.com/story/arcturus-gets-fda-fast-track-designation-for-pandemic-influenza-a-h5n1-vaccine-8bbc3f78,None,Yes,,YES
4/15/25,Yahoo Finance,https://finance.yahoo.com/news/healthtrackrx-partners-cdc-launch-rapid-135400386.html,None,Yes,,YES
4/15/25,MarketWatch,https://www.marketwatch.com/press-release/healthtrackrx-partners-with-cdc-to-launch-rapid-pcr-test-for-h5n1-to-support-early-detection-amid-nationwide-outbreaks-cf2a0129,None,YES,,YES
4/17/25,Yahoo Finance,https://finance.yahoo.com/news/vaccine-stocks-rise-growing-threat-150800194.html,"PFE,MRNA,CVAC,NVAX",NO,,YES
4/17/25,Yahoo Finance,https://finance.yahoo.com/news/magnet-nanoparticle-vaccine-achieves-100-174900945.html,None,Yes,,YES
4/17/25,MarketWatch,https://www.marketwatch.com/press-release/magnet-like-nanoparticle-vaccine-achieves-100-protection-against-h5n1-in-preclinical-trials-d8a60c98,None,Yes,,YES
4/28/25,MarketWatch,https://www.marketwatch.com/press-release/global-virus-network-issues-urgent-call-to-action-to-mitigate-the-rising-threat-of-h5n1-avian-influenza-f5394515,None,YEs,,YES
5/5/25,Yahoo Finance,https://finance.yahoo.com/news/top-animal-health-experts-address-130000937.html,TRUP,YES,"Webinar ""Bird Flu: What We Know Now""",YES
5/8/25,Bloomberg,https://www.bloomberg.com/opinion/articles/2025-05-08/bird-flu-outbreak-over-who-knows,MRNA,YES,,NO
6/3/25,Yahoo Finance,https://finance.yahoo.com/news/avian-influenza-worker-safety-understanding-153000125.html,None,Yes,"IBEC Webinar ""Avian Influenza and Worker Safety: Navigatint the H5N1 Challenge""",YES
6/3/25,MarketWatch,https://www.marketwatch.com/press-release/avian-influenza-and-worker-safety-understanding-and-managing-the-h5n1-risk-021297a6,None,Yes,,YES
